1.1	0.0768	0.544	2.86E-019
1.2	0.106	0.54	2.24E-018
1.3	0.182	0.75	5.61E-018
1.4	0.201	0.791	1.02E-017
1.5	0.219	0.788	1.60E-017
1.6	0.216	0.831	2.23E-017
1.7	0.233	0.839	3.10E-017
1.8	0.233	0.825	4.07E-017
1.9	0.248	0.805	5.30E-017
2	0.244	0.779	6.74E-017
3	0.188	1.23	1.51E-016
4	0.131	1.82	1.24E-016
5	0.12	2.05	1.37E-016
6	0.107	2.19	1.62E-016
7	0.102	2.23	1.71E-016
8	0.0932	2.29	1.78E-016
9	0.0838	2.37	1.84E-016
10	0.0761	2.43	1.93E-016
20	0.107	2.27	4.74E-016
30	0.0928	2.33	7.70E-016
40	0.0772	2.42	1.06E-015
100	0.0479	2.59	2.73E-015
